ID,Country,Variety,Date,PST
20,UK,Solstice,Apr,1
2,UK,Sax,May,0
3,UK,Sax,May,0
4,UK,Tilman,May,0
14,UK,Kranich,May,0
15,UK,Kranich,May,0
16,UK,Ambition,May,0
17,UK,Warrior,May,0
18,UK,Warrior,May,0
19,UK,Massari,May,0
21,UK,Solstice,May,1
28,UK,Scout,May,1
29,UK,Opal,May,1
5,UK,Tilman,June,0
6,UK,Perenial grass,June,0
7,UK,NIC08-108,June,0
8,UK,Turandot/ Baryton cross,June,0
9,UK,Enola,June,0
10,UK,Legenda,June,0
11,UK,expert,June,0
12,UK,Torch,June,0
13,UK,Kranich,June,1
22,UK,Solstice,June,1
26,UK,KWS Santiago,June,1
27,UK,Panacea,June,1
30,UK,Akteur,June,1
1,UK,Camargo,July,0
23,Germany,Solstice,July,1
31,Germany,Akteur,July,1
24,Germany,Solstice,Aug,1
32,Germany,Akteur,Aug,1
25,Germany,Solstice,Sept,1
33,Germany,Akteur,Sept,1
34,Germany,Akteur,Oct,1
